order,title,link0,link1,link2,link3,link4,link5,link6
1A,Welcome,https://www.github.com/utkarsh1504/DSA-Java,https://www.youtube.com/playlist?list=PL9gnSGHSqcnr_DxHsP7AW9ftq0AtAyYqJ,https://twitter.com/kunalstwt,https://www.youtube.com/playlist?list=PL9gnSGHSqcnr_DxHsP7AW9ftq0AtAyYqJ,http://civo.com/,https://twitter.com/holtbt,https://frontendmasters.com/teachers/brian-holt/
1B,Intro to Programming,,,,,,,
2A,Flowchart & Pseudocode,,,,,,,
2B,Java Development Setup,https://www.oracle.com/java/technologies/javase-jdk16-downloads.html,https://www.oracle.com/java/technologies/javase-jdk16-downloads.html,https://www.jetbrains.com/idea/,https://www.eclipse.org/downloads/,https://netbeans.apache.org/download/nb120/nb120.html,,
2C,First Java Program,,,,,,,
3A,Learn Data Types,,,,,,,
3B,Operators in Java,,,,,,,
3C,Input/Output & Conditionals,,,,,,,
3D,Loops In Java,,,,,,,
3E,Jumps Statements,,,,,,,
3F,Function & Scope,,,,,,,
4A,Introduction to Arrays,,,,,,,
4B,ArrayList In Java,,,,,,,
4C,Practise Question,,,,,,,
5A,Linear Search,,,,,,,
5B,Binary Search,,,,,,,
5C,Bubble Sort,,,,,,,
5D,Selection Sort,,,,,,,
5E,Insertion Sort,,,,,,,
6A,Intro to Strings,,,,,,,
6B,StringBuilder in Java,,,,,,,
7A,Intro to Maths in DSA,,,,,,,
8A,Intro to Recursion,,,,,,,
8B,Recursive Sorts,,,,,,,
9A,Intro to Complexity Analysis,,,,,,,
10A,Intro to OOP,,,,,,,
11A,Intro,,,,,,,
12A,Intro to Linked List,,,,,,,
13A,Intro to Stack,,,,,,,
14A,Intro to Trees,,,,,,,
15A,Intro to Binary Tree,,,,,,,
16A,Intro to BST,https://www.cs.usfca.edu/~galles/visualization/BST.html,,,,,,
17A,Introduction to Hashmap,,,,,,,
18A,Introduction to DP,,,,,,,
19A,Introduction to Priority Queues,,,,,,,
20A,Introduction to Graphs,,,,,,,
21A,Introduction to Tries,,,,,,,
22A,Assignments,,,,,,,